,folder,report,RTN,address,date_sampled,sample_id,lab,page,Matrix,DF,Acronym,Compound,CAS,Result,RL,MCL,MDL,Units,Result_val,limit
78,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.2,,,ug/kg,,1.2
79,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.2,,,ug/kg,,1.2
80,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.0,,,ug/kg,,1.0
81,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.0,,,ug/kg,,1.0
82,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.0,,,ug/kg,,1.0
83,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.0,,,ug/kg,,1.0
84,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.0,,,ug/kg,,1.0
85,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.0,,,ug/kg,,1.0
86,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.0,,,ug/kg,,1.0
87,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.0,,,ug/kg,,1.0
88,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.0,,,ug/kg,,1.0
89,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.0,,,ug/kg,,1.0
90,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.0,,,ug/kg,,1.0
91,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,ND,1.0,,,ug/kg,,1.0
